"Gender","Age","Driving_License","Region_Code","Previously_Insured","Vehicle_Age","Vehicle_Damage","Annual_Premium","Policy_Sales_Channel","Vintage","Response"
"Female",1.2363,"1","46","1","1-2 Year","No","low","124",298,"0"
"Male",-8.7637,"1","46","1","< 1 Year","No","medium","152",202,"0"
"Male",16.2363,"1","28","0","> 2 Years","Yes","medium","122",40,"0"
"Male",-13.7637,"1","8","0","< 1 Year","Yes","high","152",168,"0"
"Female",-13.7637,"1","8","1","< 1 Year","No","high","152",24,"0"
"Male",18.2363,"1","13","0","1-2 Year","Yes","medium","26",295,"0"
"Female",-15.7637,"1","30","1","< 1 Year","No","medium","152",293,"0"
"Female",4.2363,"1","28","0","1-2 Year","Yes","medium","26",35,"1"
"Male",-14.7637,"1","13","1","< 1 Year","No","medium","152",21,"0"
"Male",-8.7637,"1","26","0","< 1 Year","Yes","low","124",108,"0"
"Female",-11.7637,"1","6","1","< 1 Year","No","medium","152",225,"0"
"Male",1.2363,"1","8","0","1-2 Year","Yes","high","26",157,"0"
"Female",3.2363,"1","49","1","1-2 Year","No","medium","152",64,"0"
"Female",26.2363,"1","28","1","1-2 Year","No","high","124",195,"0"
"Female",-12.7637,"1","45","1","< 1 Year","No","low","152",112,"0"
"Female",35.2363,"1","46","1","1-2 Year","No","medium","26",147,"0"
"Male",40.2363,"1","28","0","1-2 Year","Yes","high","122",195,"1"
"Female",-12.7637,"1","8","0","1-2 Year","No","medium","124",293,"0"
"Male",0.2363,"1","50","0","1-2 Year","Yes","medium","8",292,"0"
"Female",-13.7637,"1","32","0","< 1 Year","No","medium","152",285,"0"
"Female",-13.7637,"1","30","1","< 1 Year","No","medium","152",218,"0"
"Female",0.2363,"1","44","1","1-2 Year","No","medium","124",245,"0"
"Female",-15.7637,"1","8","0","< 1 Year","Yes","medium","152",246,"0"
"Female",30.2363,"0","28","0","1-2 Year","Yes","medium","122",82,"1"
"Male",25.2363,"1","28","0","1-2 Year","Yes","medium","124",184,"0"
"Female",-15.7637,"1","46","1","< 1 Year","No","high","152",245,"0"
"Female",25.2363,"1","43","0","1-2 Year","No","medium","26",60,"0"
"Male",2.2363,"1","15","0","1-2 Year","No","medium","156",11,"0"
"Female",-17.7637,"1","8","0","< 1 Year","No","medium","152",123,"0"
"Female",-0.7637,"1","45","0","1-2 Year","Yes","medium","152",132,"1"
